MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
W02000218,"Caerau",0,33.0,85.30,3.338,0,0.00
W02000219,"Maesteg East",0,33.0,1309.04,4.682,2,0.00
W02000220,"Nant-y-moel",0,265.0,67.50,17.321,0,0.00
W02000221,"Blaengarw",0,215.0,310.29,17.087,0,0.00
W02000222,"Maesteg West",0,130.0,594.27,3.061,0,0.00
W02000223,"Ynysawdre & Aberkenfig",0,97.0,1760.17,13.516,0,0.00
W02000224,"Sarn",0,215.0,2165.16,13.814,2,0.00
W02000225,"Pyle",0,126.0,649.86,12.858,0,0.00
W02000226,"Pen-prysg",0,262.0,514.44,29.635,0,0.00
W02000227,"Cornelly",0,110.0,157.56,9.526,0,0.00
W02000228,"Pen-dre",0,905.0,2786.79,25.829,0,0.00
W02000229,"Cefn-glas & Bryntirion",0,690.0,309.74,10.946,0,0.00
W02000230,"Pen-y-fai",0,934.0,3205.46,13.844,2,0.00
W02000231,"Central Bridgend",0,934.0,3922.58,72.663,2,0.00
W02000232,"Brackla East & Coychurch Lower",0,808.0,1805.46,24.452,0,0.00
W02000233,"Brackla West",0,690.0,378.76,8.922,0,0.00
W02000234,"Broadlands",0,787.0,475.79,18.191,0,0.00
W02000235,"Porthcawl West",0,110.0,1417.32,43.161,0,0.00
W02000236,"Porthcawl East",0,178.0,2752.12,23.242,0,0.00
