MSOA,Name,index-of-transport-accessibility,chargepoints,ulev,evhs
E02001827,"Hill Hook",0,0,520.0,39.169
E02001828,"Four Oaks",0,0,661.0,51.083
E02001829,"Little Sutton & Roughley",0,0,520.0,45.218
E02001830,"Sutton Coldfield North & Park",0,0,950.0,223.734
E02001831,"Reddicap Heath",0,0,340.0,40.633
E02001832,"Rectory Park & New Hall Valley",0,0,419.0,33.702
E02001833,"Kingstanding North",0,0,575.0,15.731
E02001834,"Old Oscott",0,0,137.0,4.200
E02001835,"Sutton Coldfield South & Central",0,3,930.0,45.265
E02001836,"New Oscott",0,2,312.0,30.585
E02001837,"Kingstanding South East",0,0,64.0,5.374
E02001838,"Walmley",0,1,340.0,33.004
E02001839,"Queslett",0,0,211.0,4.718
E02001840,"Perry Common - College Road",0,0,130.0,5.362
E02001841,"Wylde Green",0,0,576.0,23.244
E02001842,"Perry Beeches West",0,0,147.0,5.198
E02001843,"Kingstanding South West",0,0,211.0,19.673
E02001844,"Chester Road",0,0,493.0,24.383
E02001845,"Perry Beeches East",0,0,138.0,4.328
E02001846,"Short Heath",0,0,66.0,4.418
E02001847,"Minworth",0,1,149.0,25.674
E02001848,"Upper Witton",0,0,197.0,3.537
E02001849,"Erdington Town",0,0,414.0,17.972
E02001850,"Perry Barr & South Hamstead",0,0,171.0,8.067
E02001851,"Pype Hayes Park",0,1,245.0,9.901
E02001852,"Stockland Green - Marsh Hill",0,0,66.0,3.759
E02001854,"Birches Green",0,4,179.0,9.003
E02001855,"Castle Vale",0,2,396.0,3.176
E02001856,"Brookvale",0,2,133.0,3.430
E02001857,"Gravelly Hill & South Erdington",0,0,284.0,11.823
E02001858,"Handsworth East",0,0,131.0,9.767
E02001859,"Birchfield East",0,0,302.0,8.190
E02001860,"Handsworth West",0,0,131.0,0.419
E02001861,"Birchfield West",0,0,202.0,10.126
E02001862,"Middlemore",0,0,107.0,0.000
E02001863,"Aston Park",0,0,67.0,0.000
E02001864,"Bromford",0,0,68.0,7.155
E02001865,"Handsworth South",0,0,260.0,7.430
E02001866,"Lozells West",0,0,202.0,1.198
E02001867,"Lozells East",0,0,105.0,0.000
E02001868,"Hodge Hill",0,0,156.0,7.332
E02001869,"Nechells",0,0,359.0,0.225
E02001870,"Ward End & Bromford West",0,0,277.0,3.372
E02001871,"Buckland End",0,0,166.0,9.113
E02001872,"Shard End & Kingfisher",0,0,166.0,13.564
E02001873,"Winson Green & Gib Heath",0,1,163.0,0.000
E02001874,"Washwood Heath",0,0,43.0,0.000
E02001875,"Hockley & Jewellery Quarter",0,5,214.0,0.068
E02001876,"North Central & Dartmouth Circus",0,9,606.0,2.371
E02001877,"Saltley East",0,0,90.0,0.071
E02001878,"Saltley West",0,4,162.0,0.932
E02001879,"Summerfield",0,0,249.0,3.354
E02001880,"Glebe Farm",0,0,98.0,4.859
E02001881,"Belchers Lane & Eastfield Road",0,0,143.0,1.059
E02001882,"Stechford",0,0,53.0,4.633
E02001883,"Kitts Green",0,1,1969.0,6.357
E02001884,"Bordesley Green North",0,0,124.0,4.858
E02001886,"Rotton Park",0,0,437.0,19.130
E02001888,"Kent's Moat",0,0,210.0,5.416
E02001889,"Little Bromwich",0,0,81.0,0.734
E02001890,"Edgbaston North",0,0,454.0,22.626
E02001892,"Yardley Fields",0,0,214.0,3.105
E02001893,"Yardley",0,0,290.0,5.036
E02001895,"Sheldon North",0,0,2081.0,7.656
E02001896,"Small Heath Park",0,0,94.0,0.013
E02001897,"Sparkbrook North",0,1,223.0,1.381
E02001898,"Lyndon Green",0,0,157.0,5.855
E02001899,"Harborne West",0,0,344.0,29.051
E02001900,"Five Ways South & Calthorpe Park",0,0,395.0,12.724
E02001901,"Harborne East",0,2,470.0,43.805
E02001902,"Yardley South",0,0,237.0,5.423
