MSOA,Name,index-of-transport-accessibility,chargepoints,ULEVs
E02006118,"Rugeley North & Etchinghill",0,0,360.0
E02006119,"Rugeley Town",0,2,186.0
E02006120,"Rugeley South & Brereton",0,0,186.0
E02006121,"Hednesford Pye Green",0,0,174.0
E02006122,"Hednesford Central",0,2,521.0
E02006123,"Wimblebury & Cannock Wood",0,0,360.0
E02006124,"Cannock North",0,0,521.0
E02006125,"Cannock North East",0,0,521.0
E02006126,"Hednesford South & Heath Hayes",0,0,521.0
E02006127,"Hawks Green",0,3,521.0
E02006128,"Cannock West & Mill Green",0,0,521.0
E02006129,"Cannock South",0,7,347.0
E02006130,"Norton Canes",0,2,490.0
