MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02001682,"Ryton",267,268.0,523.44,24.035,0,0.00,2198.88,0.00,0
E02001683,"Crawcrook & Greenside",258,164.0,712.63,32.701,0,0.00,0.00,0.00,0
E02001684,"Pelaw",323,257.0,1636.83,18.192,8,0.00,5198.82,15632.46,0
E02001685,"Blaydon South",275,78.0,447.85,17.100,0,0.00,0.00,0.00,0
E02001686,"Blaydon North & Winlaton Mill",275,280.0,2045.15,37.388,3,0.00,0.00,11254.49,0
E02001688,"Dunston & Teams",319,296.0,4150.32,32.589,13,0.00,1747.77,0.00,0
E02001689,"Bensham North",307,102.0,365.55,4.025,0,0.00,0.00,0.00,0
E02001690,"Swalwell",303,258.0,9484.69,29.716,12,0.00,14287.13,0.00,0
E02001691,"Bensham South & Saltwell",306,296.0,550.33,4.909,11,0.00,0.00,0.00,0
E02001692,"Mount Pleasant & Deckham East",310,288.0,107.13,10.417,0,0.00,0.00,0.00,0
E02001693,"Felling South",319,186.0,269.88,10.579,0,0.00,0.00,0.00,0
E02001694,"Dunston Hill",319,188.0,688.12,7.967,2,0.00,0.00,0.00,0
E02001695,"Wardley",332,78.0,1748.58,7.918,0,0.00,0.00,39641.41,0
E02001696,"Heworth",328,78.0,1077.87,11.498,3,0.00,0.00,12985.75,0
E02001697,"Low Fell East",315,108.0,977.78,19.976,0,0.00,0.00,0.00,0
E02001698,"Whickham",288,94.0,640.18,28.123,0,0.00,0.00,0.00,0
E02001699,"Windy Nook & Whitehills",318,186.0,417.32,8.958,0,0.00,0.00,0.00,0
E02001700,"Sunniside & Lobley Hill",319,360.0,1418.82,27.714,0,0.00,0.00,0.00,0
E02001701,"Low Fell West",318,108.0,672.70,22.220,4,0.00,541.76,0.00,0
E02001702,"Beacon Lough & Wrekenton",316,186.0,824.70,17.481,0,0.00,993.70,0.00,0
E02001703,"Rowlands Gill & Lockhaugh",251,119.0,226.09,17.224,0,0.00,909.49,0.00,0
E02001704,"Easedale Gardens",320,108.0,303.22,13.567,0,0.00,2281.56,0.00,0
E02001705,"Chopwell & High Spen",215,276.0,494.68,20.822,1,0.00,310.87,0.00,0
E02001706,"Birtley North & Kibblesworth",330,736.0,2786.71,23.196,4,0.00,6606.22,0.00,0
E02001707,"Birtley South",328,380.0,3418.69,28.671,8,0.00,5836.48,274.36,0
E02006841,"Gateshead Town",312,266.0,3692.57,15.577,24,0.00,2247.66,941.24,0
E02006842,"Gateshead South",309,210.0,372.30,5.820,0,0.00,0.00,0.00,0
