MSOA,Name,index-of-transport-accessibility,chargepoints,ULEVs,EVHS
E02001768,"South Shields East",281,17,57.0,6.268
E02001769,"South Shields West",305,20,242.0,17.186
E02001770,"Westoe",280,0,242.0,4.666
E02001771,"Horsley Hill",277,2,242.0,9.687
E02001772,"West Park",303,0,242.0,7.776
E02001773,"Harton West",299,0,242.0,11.192
E02001774,"Jarrow Town",331,13,380.0,21.374
E02001775,"Harton East",293,2,185.0,9.940
E02001776,"Hebburn North",310,2,121.0,17.346
E02001777,"Hebburn West",308,2,61.0,17.345
E02001778,"West Harton",307,1,242.0,11.188
E02001779,"Simonside",321,13,302.0,13.328
E02001780,"Cleadon Park",299,1,242.0,12.582
E02001781,"Brockley Whins",333,1,245.0,7.211
E02001782,"Hebburn South",320,2,121.0,18.581
E02001783,"Biddick Hill",316,1,185.0,12.090
E02001784,"Primrose",334,1,178.0,7.316
E02001785,"Whitburn & Marsden",225,4,303.0,26.422
E02001786,"Whiteleas",302,0,185.0,11.373
E02001787,"Fellgate & Hedworth",333,1,385.0,7.989
E02001788,"Boldon Colliery",332,1,134.0,9.959
E02001789,"Cleadon & East Boldon",298,0,346.0,22.638
E02001790,"West Boldon",322,5,311.0,26.918
