MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02002244,"Illingworth & Ogden",287,448.0,470.00,11.956,0,0.00
E02002245,"Mixenden",288,115.0,157.95,8.079,0,0.00
E02002246,"Northowram & Shelf",548,503.0,586.95,22.076,3,0.00
E02002247,"Hebden Bridge",186,268.0,857.37,41.970,4,0.00
E02002248,"Wheatley & Ovenden West",335,422.0,359.28,15.688,0,0.00
E02002249,"Ovenden East",377,328.0,0.00,13.465,0,0.00
E02002250,"Mytholmroyd & Cragg Vale",304,199.0,953.54,27.729,0,0.00
E02002251,"Central Halifax & Boothtown",462,653.0,6306.81,54.154,6,0.00
E02002252,"Norton Tower & Mount Tabor",335,203.0,90.50,9.026,0,0.00
E02002253,"Pellon West & Highroad Well",353,209.0,619.33,8.417,0,0.00
E02002254,"Hipperholme",695,337.0,130.01,19.895,3,0.00
E02002255,"Pellon East",414,307.0,879.18,3.854,0,0.00
E02002256,"Todmorden West & Cornholme",133,69.0,1017.81,25.438,1,0.00
E02002257,"King Cross",422,209.0,30.00,2.934,0,0.00
E02002258,"Clifton & Bailiff Bridge",730,637.0,4332.29,33.927,6,0.00
E02002259,"Savile Park",500,510.0,1623.78,8.949,3,1907.12
E02002260,"Sowerby Bridge",495,297.0,758.64,33.762,3,0.00
E02002261,"Southowram & Siddal",639,366.0,1856.20,23.338,1,0.00
E02002262,"Brighouse",740,421.0,1327.66,49.278,4,0.00
E02002263,"Sowerby & Luddendenfoot",539,203.0,276.00,23.190,0,0.00
E02002264,"Skircoat Green",617,307.0,1275.67,18.502,0,0.00
E02002265,"Todmorden East & Walsden",134,126.0,1093.69,13.918,1,0.00
E02002266,"Rastrick East",748,124.0,595.92,16.108,0,0.00
E02002267,"Rastrick West",837,385.0,1207.94,19.896,0,0.00
E02002268,"Elland",835,759.0,2437.13,24.981,3,0.00
E02002269,"Greetland & Stainland",691,285.0,1113.96,30.209,0,0.00
E02002270,"Ripponden",799,373.0,900.70,37.564,0,0.00
