MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02000024,"High Barnet & Hadley",0,997.0,900.83,42.435,3,0.00,436.38,0.00
E02000025,"Hadley Wood",0,688.0,1376.20,29.027,10,0.00,0.00,0.00
E02000026,"Oak Hill",0,1283.0,397.88,32.376,0,0.00,0.00,0.00
E02000027,"Ducks Island & Underhill",0,685.0,81.23,21.783,0,0.00,0.00,0.00
E02000028,"New Barnet West",0,1032.0,320.64,109.648,0,0.00,0.00,0.00
E02000029,"New Barnet Town & East Barnet",0,656.0,1113.75,43.924,0,0.00,1702.50,0.00
E02000030,"Totteridge & Barnet Gate",0,1743.0,2635.96,54.084,1,0.00,0.00,0.00
E02000031,"Oakleigh Park",0,720.0,872.03,104.977,1,0.00,2667.87,7742.86
E02000032,"Osidge",0,948.0,260.50,25.981,0,0.00,0.00,0.00
E02000033,"Brunswick Park Road",0,1292.0,1452.35,19.932,0,0.00,0.00,0.00
E02000034,"Whetstone East",0,665.0,187.52,37.540,1,0.00,3658.82,0.00
E02000035,"Woodside Park",0,665.0,283.52,66.777,1,0.00,18.65,0.00
E02000036,"Edgware East",0,1121.0,1357.86,33.562,2,0.00,0.00,0.00
E02000037,"Edgware Park",0,1023.0,307.72,27.597,0,0.00,0.00,0.00
E02000038,"Friern Barnet",0,1015.0,1466.87,18.782,0,0.00,216.24,0.00
E02000039,"Mill Hill Park",0,536.0,351.30,136.299,0,0.00,0.00,0.00
E02000040,"Mill Hill East",0,1283.0,779.92,70.157,3,0.00,2917.58,0.00
E02000041,"Edgware Central",0,585.0,1546.22,110.388,0,0.00,4625.64,0.00
E02000042,"North Finchley",0,747.0,1149.17,35.282,2,0.00,4950.74,250.09
E02000043,"West Finchley",0,1091.0,0.00,23.869,0,0.00,0.00,0.00
E02000044,"Mill Hill Broadway",0,1879.0,430.74,33.443,0,0.00,0.00,0.00
E02000045,"Colney Hatch",0,1028.0,1813.56,20.938,0,691.12,9581.21,692.66
E02000046,"Church End",0,426.0,730.27,42.830,0,0.00,3731.77,7.31
E02000047,"Burnt Oak & Watling Park",0,1343.0,1966.31,28.823,0,0.00,0.00,0.00
E02000048,"Copthall & Downage",0,1283.0,1186.41,117.100,19,0.00,0.00,0.00
E02000049,"Grahame Park",0,1294.0,973.41,11.622,0,0.00,0.00,0.00
E02000050,"Fallow Corner",0,1560.0,2124.28,39.951,2,0.00,0.00,3430.14
E02000051,"Finchley Central",0,426.0,566.30,62.264,0,0.00,0.00,1196.18
E02000052,"East Finchley",0,950.0,488.38,128.665,1,0.00,0.00,0.00
E02000053,"Colindale",0,1079.0,3312.53,16.304,9,0.00,0.00,0.00
E02000054,"North Hendon & Sunny Hill",0,321.0,826.98,23.353,1,0.00,0.00,0.00
E02000055,"Hendon Central",0,321.0,1176.05,93.622,1,0.00,802.32,0.00
E02000056,"Hampstead Garden Suburb",0,2656.0,210.37,74.247,2,0.00,0.00,0.00
E02000057,"Hendon Park",0,967.0,460.97,23.521,4,0.00,0.00,0.00
E02000058,"Temple Fortune",0,1722.0,95.13,184.341,0,0.00,1899.99,0.00
E02000059,"West Hendon",0,2088.0,3694.81,42.688,1,0.00,7199.43,0.00
E02000060,"Golders Green North",0,1655.0,78.46,57.393,1,0.00,0.00,0.00
E02000061,"Golders Green South",0,3104.0,91.35,60.550,0,0.00,1570.87,0.00
E02000062,"Brent Cross & Staples Corner",0,1976.0,6763.90,16.274,6,0.00,6690.44,0.00
E02000063,"North Cricklewood",0,1655.0,836.22,62.852,0,0.00,0.00,0.00
E02000064,"Childs Hill",0,2783.0,532.54,13.203,5,0.00,0.00,0.00
