MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
W02000126,"Cilgerran & Crymych",0,133.0,2313.22,4.647,4,0.00
W02000127,"Fishguard",0,189.0,2631.67,2.573,6,0.00
W02000128,"St Davids & Letterston",0,127.0,2989.46,18.262,5,0.00
W02000129,"Crundale",0,246.0,1463.66,14.916,0,0.00
W02000130,"Haverfordwest North",0,49.0,4329.44,0.000,4,0.00
W02000131,"Haverfordwest South",0,249.0,1700.96,2.142,4,0.00
W02000132,"Narberth",0,234.0,3697.90,18.895,2,0.00
W02000133,"Johnston",0,293.0,1852.32,16.961,1,0.00
W02000134,"Neyland",0,243.0,517.60,8.062,2,0.00
W02000135,"Milford Haven East",0,67.0,155.34,6.267,0,0.00
W02000136,"Saundersfoot",0,220.0,4304.61,4.096,2,0.00
W02000137,"Milford Haven West",0,67.0,71.50,5.200,5,0.00
W02000138,"Pembroke Dock",0,49.0,3045.52,0.440,7,0.00
W02000139,"Pembroke East & Manorbier",0,101.0,1984.58,6.053,0,0.00
W02000140,"Pembroke West & Castlemartin",0,33.0,4385.08,6.945,2,0.00
W02000141,"Tenby & Caldey",0,49.0,3623.23,9.369,9,0.00
