MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02002726,"Immingham & Habrough",125,201.0,2053.21,19.298,1,0.00,1555.76,0.00,0
E02002727,"Grimsby East Marsh & Port",101,150.0,1592.87,5.129,0,0.00,13619.16,0.00,0
E02002728,"Grimsby West Marsh",114,488.0,2369.20,9.828,7,0.00,19368.98,0.00,0
E02002729,"Great Coates & The Willows",104,167.0,2729.42,9.469,0,0.00,435.70,9613.27,0
E02002730,"Sidney Park",97,121.0,0.00,6.292,0,0.00,0.00,0.00,0
E02002731,"New Clee",95,86.0,0.00,1.867,0,0.00,0.00,0.00,0
E02002732,"Laceby",104,248.0,11425.20,30.674,2,0.00,7539.30,0.00,0
E02002733,"Littlefield North",101,177.0,439.63,3.348,2,0.00,1809.74,0.00,0
E02002734,"Yarborough",98,130.0,1419.41,6.146,0,0.00,2309.72,0.00,0
E02002735,"Cleethorpes North",85,57.0,804.98,6.876,0,0.00,0.00,0.00,0
E02002736,"Holme Hill",92,150.0,733.91,2.476,0,0.00,0.00,0.00,0
E02002737,"Weelsby & Old Clee",85,143.0,585.86,5.133,0,0.00,1954.74,0.00,0
E02002738,"Laceby Acres & Wybers Wood",85,179.0,0.00,5.457,0,0.00,453.73,0.00,0
E02002739,"Cleethorpes Beacon Hill",70,57.0,45.98,8.315,0,0.00,0.00,0.00,0
E02002740,"Littlefield South & Grange",85,179.0,650.46,4.359,0,0.00,273.87,0.00,0
E02002741,"Wellow",85,226.0,744.24,6.786,2,0.00,0.00,0.00,0
E02002742,"Cleethorpes Haverstoe",66,57.0,1841.66,8.045,2,0.00,397.49,0.00,0
E02002743,"Cleethorpes West",70,57.0,96.13,7.191,0,0.00,0.00,0.00,0
E02002744,"Nunsthorpe",79,76.0,105.32,9.465,0,0.00,178.54,0.00,0
E02002745,"Humberston",57,159.0,1784.49,15.462,0,0.00,0.00,0.00,0
E02002746,"Scartho",61,49.0,200.25,15.241,0,0.00,562.66,0.00,0
E02002747,"New Waltham",63,311.0,1031.43,24.069,3,0.00,8282.18,0.00,0
E02002748,"Waltham & East Ravendale",66,456.0,106.37,18.896,0,0.00,0.00,0.00,0
