MSOA,Name,index-of-transport-accessibility,chargepoints,ulev,evhs
E02001347,"Fazakerley North",744,2,173.0,9.587
E02001348,"Walton Vale",660,2,124.0,9.393
E02001349,"Orrell Park",590,0,175.0,9.697
E02001350,"Croxteth West & Gillmoss",727,2,147.0,13.105
E02001351,"Fazakerley South",710,13,173.0,17.947
E02001352,"Walton North",538,0,126.0,8.145
E02001353,"Croxteth East",619,0,119.0,17.949
E02001354,"Walton East",677,0,175.0,5.928
E02001355,"Walton Hall",618,0,205.0,2.621
E02001356,"Norris Green East",692,0,119.0,9.788
E02001357,"Norris Green West",674,0,139.0,5.687
E02001358,"Walton South",543,0,109.0,2.299
E02001359,"Croxteth Park",656,0,119.0,12.607
E02001360,"Kirkdale North",487,0,143.0,5.144
E02001361,"Anfield North",612,0,107.0,1.847
E02001362,"Muirhead Avenue",672,0,179.0,11.888
E02001363,"Yewtree",700,2,103.0,13.062
E02001364,"Anfield West",528,0,64.0,0.951
E02001365,"Anfield East",590,0,118.0,1.355
E02001366,"Tuebrook",664,0,118.0,4.331
E02001367,"Sandfield Park & Holly Lodge",682,0,212.0,43.783
E02001368,"Kirkdale South & Vauxhall",364,0,226.0,1.141
E02001369,"Everton West",449,2,175.0,0.045
E02001370,"Everton East",556,2,92.0,0.045
E02001371,"Knotty Ash",738,0,33.0,8.165
E02001372,"Dovecot",718,4,163.0,12.101
E02001373,"Fairfield East",704,13,93.0,6.018
E02001374,"Fairfield West & Newsham Park",635,9,103.0,0.356
E02001375,"Stoneycroft",726,7,163.0,4.653
E02001376,"Kensington",592,0,103.0,0.047
E02001377,"Edge Hill",587,3,289.0,0.055
E02001378,"Wavertree East",721,0,101.0,6.392
E02001380,"Broad Green",743,1,184.0,13.283
E02001381,"Wavertree West",625,0,183.0,6.791
E02001382,"Childwall East",723,1,83.0,22.316
E02001383,"Chinatown",485,20,101.0,0.000
E02001384,"Wavertree South",623,0,381.0,22.958
E02001385,"Toxteth Park",514,0,123.0,0.043
E02001386,"Belle Vale",691,0,202.0,23.554
E02001387,"Childwall West & Wavertree Green",707,0,226.0,24.410
E02001388,"Wavertree Penny Lane",644,6,176.0,17.236
E02001389,"Princes Park",490,0,147.0,4.175
E02001390,"Toxteth",369,2,101.0,0.000
E02001391,"Netherley",755,0,264.0,1.929
E02001392,"Gateacre",635,0,192.0,18.528
E02001393,"Calderstones",656,0,327.0,29.037
E02001394,"Mossley Hill West & Sefton Park",630,0,256.0,33.163
E02001395,"Mossley Hill East",633,2,215.0,45.735
E02001396,"Dingle",381,18,269.0,4.387
E02001397,"Woolton",605,0,192.0,40.201
E02001398,"St Michael's & Otterspool",523,2,80.0,14.294
E02001399,"West Allerton",554,0,285.0,15.104
E02001400,"Allerton",557,0,414.0,15.203
E02001401,"Hunts Cross",665,0,319.0,16.614
E02001402,"Aigburth & Grassendale",522,2,150.0,23.641
E02001403,"Garston",565,6,205.0,15.848
E02001404,"Speke West & Airport",651,1,137.0,12.516
E02001405,"Speke East",725,1,67.0,8.622
E02006932,"Central & Islington",489,2,232.0,0.000
E02006933,"Albert Dock & Queen's Dock",359,3,189.0,0.000
E02006934,"Pier Head",367,6,103.0,0.000
