MSOA,Name,index-of-transport-accessibility,chargepoints
E02003491,"Patcham East",0,0
E02003492,"Coldean & Moulsecoomb North",0,3
E02003493,"Patcham West & Westdene",0,3
E02003494,"Hollingbury",0,2
E02003495,"Mile Oak",0,0
E02003496,"Hangleton North",0,0
E02003497,"West Blatchington",0,2
E02003498,"Hollingdean & Moulsecoomb West",0,6
E02003499,"Bevendean & Moulsecoomb East",0,1
E02003500,"Fiveways",0,16
E02003501,"Withdean Woods",0,13
E02003502,"Portslade Village",0,1
E02003503,"Hangleton South",0,0
E02003504,"Preston Park",0,16
E02003505,"Round Hill",0,4
E02003506,"Aldrington",0,23
E02003507,"Woodingdean",0,0
E02003508,"Elm Grove & Bear Road",0,9
E02003509,"Goldsmid West",0,11
E02003510,"Goldsmid East",0,14
E02003511,"Portslade by Sea",0,18
E02003512,"Hanover",0,12
E02003513,"Aldrington South",0,8
E02003514,"Seven Dials",0,9
E02003515,"Whitehawk",0,5
E02003516,"Hove Central",0,14
E02003517,"North Laine & the Lanes",0,32
E02003518,"King Alfred",0,14
E02003519,"Brunswick",0,15
E02003520,"St James's Street & Queen's Park",0,8
E02003521,"Kemptown",0,9
E02003522,"Roedean & Marina",0,8
E02003523,"Rottingdean & Saltdean",0,1
